"e","C","","0","1638822072229","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","C",,"1","1638822072231","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822073659","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","C","0","1638822073672","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Enter",,,"1638822074290","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","
","","0","1638822074311","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Enter",,,"1638822074735","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","
","","1","1638822074743","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","C","","2","1638822075145","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","C",,"3","1638822075147","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","l","","3","1638822075357","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","l",,"4","1638822075370","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","a","","4","1638822075532","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","a",,"5","1638822075534","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","s","","5","1638822075712","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","s",,"6","1638822075713","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","s","","6","1638822075871","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","s",,"7","1638822075872","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e"," ","","7","1638822076237","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k"," ",,"8","1638822076238","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822077361","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e",""," ","7","1638822077368","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822077563","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","s","6","1638822077570","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822077739","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","s","5","1638822077747","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822077903","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","a","4","1638822077908","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822078070","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","l","3","1638822078076","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822078505","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","C","2","1638822078511","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","c","","2","1638822078756","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","c",,"3","1638822078757","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","l","","3","1638822078915","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","l",,"4","1638822078927","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","a","","4","1638822079068","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","a",,"5","1638822079078","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","s","","5","1638822079194","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","s",,"6","1638822079202","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","s","","6","1638822079393","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","s",,"7","1638822079401","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e"," ","","7","1638822080040","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k"," ",,"8","1638822080041","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","M","","8","1638822080928","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","M",,"9","1638822080929","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","e","","9","1638822081241","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","e",,"10","1638822081242","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","m","","10","1638822081439","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","m",,"11","1638822081440","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","o","","11","1638822081618","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","o",,"12","1638822081619","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","r","","12","1638822081941","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","r",,"13","1638822081942","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","y","","13","1638822082182","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","y",,"14","1638822082183","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","C","","14","1638822082633","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","C",,"15","1638822082634","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","a","","15","1638822082945","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","a",,"16","1638822082946","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","r","","16","1638822083078","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","r",,"17","1638822083080","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","d","","17","1638822083252","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","d",,"18","1638822083253","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e",":","","18","1638822083919","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k",":",,"19","1638822083921","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Enter",,,"1638822084547","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","
","","19","1638822084559","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","    ","","20","1638822084588","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Tab",,,"1638822085357","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","    ","","24","1638822085364","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1638822086098","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e",""," ","27","1638822086105","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","","   ","24","1638822086111","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"a","Enter",,,"1638822092638","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","
    ","","24","1638822092645","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","g","","29","1638822093710","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","g",,"30","1638822093711","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","e","","30","1638822093891","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","e",,"31","1638822093900","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","t","","31","1638822094071","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","t",,"32","1638822094080","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","V","","32","1638822094525","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","V",,"33","1638822094535","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","a","","33","1638822094804","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","a",,"34","1638822094805","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","l","","34","1638822094929","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","l",,"35","1638822094930","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","u","","35","1638822095060","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","u",,"36","1638822095061","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"e","e","","36","1638822095224","MemoryCard.py","1.1.10 for 2019-2020 @t1"
"k","e",,"37","1638822095225","MemoryCard.py","1.1.10 for 2019-2020 @t1"
